"9","Автомобили","60976"
"101","Товары для компьютера","32976"
"102","Охота и рыбалка","5783"
"105","Фототехника","12092"
"106","Растения","11101"
"111","Вакансии","13113"
"112","Резюме","6371"
"114","Предложение услуг","58239"
"116","Готовый бизнес","1990"
"10","Запчасти и аксессуары","358656"
"11","Водный транспорт","2439"
"14","Мотоциклы и мототехника","5798"
"19","Ремонт и строительство","67104"
"20","Мебель и интерьер","75966"
"21","Бытовая техника","34487"
"23","Комнаты","5676"
"24","Квартиры","68680"
"25","Дома, дачи, коттеджи","23395"
"26","Земельные участки","13035"
"27","Одежда, обувь, аксессуары","371298"
"28","Часы и украшения","28670"
"29","Детская одежда и обувь","280140"
"30","Товары для детей и игрушки","99956"
"31","Настольные компьютеры","7285"
"32","Аудио и видео","40278"
"33","Билеты и путешествия","1413"
"34","Велосипеды","9489"
"36","Коллекционирование","48575"
"38","Музыкальные инструменты","8676"
"39","Спорт и отдых","41464"
"40","Оборудование для бизнеса","15566"
"42","Коммерческая недвижимость","10700"
"81","Грузовики и спецтехника","8229"
"82","Продукты питания","8110"
"83","Книги и журналы","28672"
"84","Телефоны","55176"
"85","Гаражи и машиноместа","6509"
"87","Посуда и товары для кухни","20566"
"88","Красота и здоровье","35204"
"89","Собаки","6687"
"90","Кошки","7533"
"91","Птицы","1794"
"92","Аквариум","2528"
"93","Другие животные","5774"
"94","Товары для животных","6351"
"96","Планшеты и электронные книги","6636"
"97","Игры, приставки и программы","12765"
"98","Ноутбуки","8949"
"99","Оргтехника и расходники","9447"
